2023-12-24 08:25:32,220 |sse-nio-8443-exec-11 |ControlServlet                |T| [[[onlineexam::examMasterListEvent (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-24 08:25:32,221 |sse-nio-8443-exec-11 |NoModule                      |O| ExamID ==========================================6
2023-12-24 08:25:32,222 |sse-nio-8443-exec-11 |RequestHandler                |I| Ran Event [java:com.companyname.onlineexam.events.ExamMasterListEvent#listOfExam] from [request], result is [success]
2023-12-24 08:25:32,222 |sse-nio-8443-exec-11 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-24 08:25:32,222 |sse-nio-8443-exec-11 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
2023-12-24 08:25:32,223 |sse-nio-8443-exec-11 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-24 08:25:32,225 |sse-nio-8443-exec-11 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-24 08:25:32,227 |sse-nio-8443-exec-11 |ControlServlet                |T| [[[onlineexam::examMasterListEvent (Domain:https://localhost)] Request Done- total:0.007,since last([onlineexam::exam...):0.007]]
2023-12-24 08:25:32,321 |sse-nio-8443-exec-13 |ControlServlet                |T| [[[onlineexam::examMasterListEvent (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-24 08:25:32,323 |sse-nio-8443-exec-13 |NoModule                      |O| ExamID ==========================================6
2023-12-24 08:25:32,325 |jsse-nio-8443-exec-9 |ControlServlet                |T| [[[onlineexam::examMasterListEvent (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-24 08:25:32,326 |sse-nio-8443-exec-13 |RequestHandler                |I| Ran Event [java:com.companyname.onlineexam.events.ExamMasterListEvent#listOfExam] from [request], result is [success]
